col_0_0_	col_1_0_	col_2_0_
A00002232	260.000000000	3120.000000000
A00002115	260.000000000	3120.000000000
A00002206	260.000000000	3120.000000000
A00002198	260.000000000	3120.000000000
A00002219	260.000000000	3120.000000000
A00002229	260.000000000	3120.000000000
A00002407	260.000000000	3120.000000000
A00002243	260.000000000	3120.000000000
A00002262	260.000000000	3120.000000000
A00002334	260.000000000	3120.000000000
A00002577	260.000000000	3120.000000000
A00002609	260.000000000	3120.000000000
A00002542	260.000000000	3120.000000000
A00002546	260.000000000	3120.000000000
A00002559	260.000000000	3120.000000000
A00001853	260.000000000	3120.000000000
A00002607	260.000000000	3120.000000000
A00001625	260.000000000	3120.000000000
A00001669	260.000000000	3120.000000000
A00001928	260.000000000	3120.000000000
A00001739	260.000000000	3120.000000000
A00002106	260.000000000	3120.000000000
A00001767	260.000000000	3120.000000000
A00002045	260.000000000	3120.000000000
A00001839	260.000000000	3120.000000000
A00001916	260.000000000	3120.000000000
A00001848	260.000000000	3120.000000000
A00001984	260.000000000	3120.000000000
A00001827	260.000000000	3120.000000000
A00002389	260.000000000	3120.000000000
A00001944	260.000000000	3120.000000000
A00002327	260.000000000	3120.000000000
A00002041	260.000000000	3120.000000000
A00002148	260.000000000	3120.000000000
A00002121	260.000000000	3120.000000000
A00002462	260.000000000	3120.000000000
A00002000	260.000000000	3120.000000000
A00002318	260.000000000	3120.000000000
A00001970	260.000000000	3120.000000000
A00002510	260.000000000	3120.000000000
A00002235	260.000000000	3120.000000000
A00002612	260.000000000	3120.000000000
A00002352	260.000000000	3120.000000000
A00002548	260.000000000	3120.000000000
A00002369	260.000000000	3120.000000000
A00001809	260.000000000	3120.000000000
A00002468	260.000000000	3120.000000000
A00001725	260.000000000	3120.000000000
A00001764	260.000000000	3120.000000000
A00001851	260.000000000	3120.000000000
A00001761	260.000000000	3120.000000000
A00002065	260.000000000	3120.000000000
A00001899	260.000000000	3120.000000000
A00002009	260.000000000	3120.000000000
